====================================================================================================
 Heim z=0 claim verification (J0032 p.27a)
====================================================================================================

Heim's claim: Tabellen IV (k=1) and V_{a,b,c} (k=2) assembled under
z(N) = 0 approximation, error < 0.1 MeV.  Named exceptions:
  ω(783) and η'(958) for k=1; N(1688) for k=2.

Loaded 145 baryon candidates, 36 meson candidates

=== k=1 mesonic resonances ===
  symbol          P  qx    N  Q₀   κ        ΔM   ΔKB      |Δf|  verdict
  Σ(2080)⁺        2  +1   70   1   0   +0.0255 +0.01    0.6210  FAIL
  Σ(2100)⁻        2  -1   70   1   0   +0.0091 +0.23    0.6169  FAIL
  Σ(2100)⁰        2  +0   77   1   0   +0.0813 +0.32    0.6490  FAIL
  Σ(2100)⁺        2  +1   71   1   0   +0.0212 +0.32    0.6924  FAIL
  Σ(2250)⁻        2  -1   76   1   0   +0.0509 +0.41    0.6253  FAIL
  Σ(2250)⁰        2  +0   84   1   0   +0.0963 +0.34    0.5877  FAIL
  Σ(2250)⁺        2  +1   78   1   0   +0.1990 +0.02    0.6362  FAIL
  Σ(2455)⁻        2  -1   94   1   0   +0.0141 +0.39    0.6561  FAIL
  Σ(2455)⁰        2  +0  104   1   1   +0.2091 +0.34    0.5435  FAIL
  Σ(2455)⁺        2  +1   85   1   0   +0.2519 +0.40    0.6493  FAIL
  Σ(2620)⁻        2  -1  110   1   0   +1.5557 +0.09    0.6838  FAIL
  Σ(2620)⁰        2  +0  121   1   1   +0.0039 +0.30    0.4280  FAIL
  Σ(2620)⁺        2  +1  103   1   0   +0.1117 +0.02    0.6165  FAIL
  Σ(3000)⁻        2  -1  136   1   0   +1.0166 +36.00    0.7271  FAIL
  Σ(3000)⁰        2  +0  150   1   1   +0.0615 +0.16    0.2417  FAIL
  Σ(3000)⁺        2  +1  140   1   0   +0.0484 +0.09    0.7518  FAIL

  Baryons: 21 pass / 124 fail

=== Cross-reference with Heim's named exceptions ===
  Heim's named exceptions: ['N(1688)', "η'(958)", 'ω(783)']
  Our failed entries (subset shown):
    expected (Heim-named): ['N(1688)±', "η'(958)", 'ω(783)']
    additional fails:      153 entries
